"","map","position","target"
"1",".........#..##.##..............",1,"."
"2","#...#.#..#.....................",2,"."
"3",".#...#..#...................#..",3,"."
"4","........##..#...#..............",4,"."
"5",".#.#.....#..#..##......#.......",5,"."
"6","....#..#...#..##........#..##..",6,"."
"7","...#....##........#.......#.#..",7,"."
"8","....#................#...###..#",8,"."
"9","...#...#.#..#....#.......####.#",9,"."
"10",".....#...#..........#...#..#.#.",10,"#"
"11","....#..#............#.#.#.#..#.",11,"."
"12","..#....#.###..#............#...",12,"#"
"13",".....#.............#.#.........",13,"."
"14",".#.##............##.........#..",14,"."
"15","...##...#..#....#.##..#.....#..",15,"."
"16","..............#.#.........#.##.",16,"."
"17","...........#.....##....##......",17,"."
"18",".......#............#...#......",18,"."
"19","............#.#....#....#..#..#",19,"."
"20","....#................####......",20,"."
"21","...#.........................##",21,"."
"22","..........#........#.#.........",22,"#"
"23","....#.#....#...........#......#",23,"."
"24","..#.#..##......##..##..#..#.#..",24,"#"
"25","...#.....##......#.#.#.........",25,"."
"26",".........#.#....#...#.#.#......",26,"."
"27",".......#.......###.#.......#...",27,"."
"28","..#............##..#.......#...",28,"#"
"29","...#....#......#...#...#...#...",29,"."
"30","......#..#.#.....##......#.....",30,"."
"31","...........##...##...#....#.##.",31,"."
"32","#.##..#.....##..#.#............",1,"#"
"33",".#.#.....##......#.##........#.",2,"#"
"34","..#...#...#...#..........#...##",3,"#"
"35","...##.........................#",4,"#"
"36",".....#......#.....##....#.....#",5,"."
"37","..#........#...................",6,"."
"38","#......#..#.#..#..#.#..#...#...",7,"."
"39","...............#..........#....",8,"."
"40",".....#...........#......#....#.",9,"."
"41","........#..#...............#...",10,"."
"42",".........#...#.......#.#..#...#",11,"."
"43","..#..#......#.##..........#....",12,"."
"44",".#...#....#.....#.............#",13,"."
"45",".##.....#.........#......#..#..",14,"."
"46","........#..##.......#......#...",15,"."
"47",".......#.....###......#..#.....",16,"#"
"48",".......#.#.......#.............",17,"."
"49","...#................##.#.......",18,"."
"50","..##..#...#.#...#.#..#.#.#.##..",19,"#"
"51",".......#.#............#...#....",20,"."
"52","#...#.....#......#..........##.",21,"."
"53",".#.......#......#.......#.#.#..",22,"."
"54",".#.##.#.#...........#..........",23,"."
"55",".......#.....#....#.#.##......#",24,"#"
"56",".###..#...#.............##.....",25,"#"
"57","......#......#.................",26,"."
"58","##...#.#...##...#.#.....#....#.",27,"."
"59","#.............#....##...#....#.",28,"."
"60","#.#...#....#........#.###..##..",29,"#"
"61","......#.........#......#.#.#.#.",30,"#"
"62","..#.#.#.....#........#..#...#..",31,"."
"63","#.##....#.#......#...........#.",1,"#"
"64",".#.#.####.........#..#.##....##",2,"#"
"65","......##...............#......#",3,"."
"66",".......#.........#........#.#..",4,"."
"67","....#....#..#.##.........#..#..",5,"#"
"68",".#..........#.##....#.#..#.....",6,"."
"69","#..#.#............#..#....#.#.#",7,"."
"70","..................#..#.........",8,"."
"71","##..##.#....#.................#",9,"."
"72","..................#........#..#",10,"."
"73",".....#.........#.......##......",11,"."
"74",".....................#.#..#...#",12,"."
"75",".....#.........#..........#.#..",13,"."
"76","...#.#..#..#.#.#.......#.......",14,"#"
"77",".....#.....#.#.........#.....##",15,"."
"78",".............##....#....##.#...",16,"."
"79",".#......#........##..#...###...",17,"."
"80","........#.......##.##.#......#.",18,"#"
"81","..#....................#.##..#.",19,"."
"82","......#.......#..#....##.#.....",20,"."
"83","...#....#.......##...#.......#.",21,"."
"84",".#.#..#.#..........##..........",22,"."
"85","....#.......##...........#.....",23,"."
"86","###....#.......#..#...#.....##.",24,"."
"87","...#......#.........#..#.#..#.#",25,"."
"88","#.........#..##.#..............",26,"."
"89",".#.....#..##.#..#..###.....##.#",27,"."
"90","..........#..#....##.......#...",28,"#"
"91",".#..#.#...#...##.#..#.##.#.....",29,"."
"92","#....#...#........#......##....",30,"."
"93","..#.####....#.#........#....#..",31,"."
"94","#......#............#.#........",1,"#"
"95","...#..#.......##...........#...",2,"."
"96",".........#..#.#..#.###.#...#..#",3,"."
"97","..#....##.......#.............#",4,"."
"98","............#..#......#........",5,"."
"99","........#......#..............#",6,"."
"100","..#.#.#...........#............",7,"#"
"101","...........#......##.#.#.......",8,"."
"102",".#..........#...........#..#...",9,"."
"103",".....#...#..#.........##...#...",10,"#"
"104",".......#....##....#.#.........#",11,"."
"105","..#.#......#.......#...##.#....",12,"#"
"106",".....#..........#........#.....",13,"."
"107","#.......#.......#............#.",14,"."
